class,Test Block 1_spot1_r,Test Block 1_spot1_g,Test Block 1_spot1_b,Test Block 1_spot2_r,Test Block 1_spot2_g,Test Block 1_spot2_b,Test Block 2_spot1_r,Test Block 2_spot1_g,Test Block 2_spot1_b,Test Block 2_spot2_r,Test Block 2_spot2_g,Test Block 2_spot2_b,Test Block 3_spot1_r,Test Block 3_spot1_g,Test Block 3_spot1_b,Test Block 3_spot2_r,Test Block 3_spot2_g,Test Block 3_spot2_b,Control Block_spot1_r,Control Block_spot1_g,Control Block_spot1_b,Control Block_spot2_r,Control Block_spot2_g,Control Block_spot2_b
5,0,5,0,74,45,0,30,108,105,6,0,0,0,0,0,112,92,136,0,0,8,99,150,128
5,7,5,6,57,50,0,29,108,57,0,0,4,0,0,3,51,96,120,0,0,0,117,144,150
5,0,0,0,83,56,0,24,110,83,0,0,0,0,0,4,108,40,112,5,0,0,118,112,131
5,4,0,0,84,73,0,29,101,78,6,2,0,2,0,0,130,79,97,6,4,0,121,122,129
5,1,4,4,60,93,0,29,102,74,2,6,0,3,2,0,72,55,71,11,0,0,115,127,104
5,0,4,6,32,65,17,23,108,96,0,0,0,0,0,0,77,87,37,5,4,0,141,140,115
5,0,3,0,60,86,11,20,112,97,0,0,2,2,0,0,63,53,90,0,4,0,128,155,142
5,0,9,2,84,88,0,30,95,63,0,0,0,0,0,0,85,64,101,1,2,0,105,145,116
5,0,2,0,58,61,7,16,95,81,1,1,0,0,0,0,77,70,81,1,6,0,104,137,135
5,4,0,7,90,34,12,27,113,97,0,0,0,0,0,0,100,48,74,0,0,0,87,137,106
5,4,3,0,67,95,60,28,108,87,4,2,0,1,0,0,93,87,99,0,2,0,133,131,118
5,4,0,1,52,69,43,31,100,103,0,0,0,0,0,0,96,66,110,0,0,11,116,143,136
5,0,5,2,60,100,19,27,107,91,0,0,0,0,0,0,91,55,127,4,5,4,118,136,143
5,5,0,0,82,67,30,21,108,82,0,0,0,0,0,0,114,93,80,0,3,0,120,132,128
5,0,0,2,58,86,24,23,99,57,0,2,1,4,0,3,74,75,107,0,0,0,137,96,107
5,0,0,9,85,33,2,24,96,67,0,0,0,1,1,0,94,83,120,0,0,2,104,167,124
5,4,0,0,61,107,24,18,113,59,0,0,0,0,0,0,106,92,78,2,0,0,142,144,83
5,0,0,1,90,67,12,27,94,91,1,0,0,0,0,0,80,70,109,8,4,0,140,149,135
5,4,0,0,46,60,0,30,106,87,10,0,0,0,0,6,112,106,111,0,4,0,90,143,122
5,1,0,8,61,55,18,36,102,88,0,0,0,3,2,0,117,66,151,9,2,2,132,151,102
5,0,1,6,53,56,7,29,100,87,1,0,0,0,0,4,109,69,115,4,6,4,135,146,130
5,0,3,4,77,56,7,29,107,91,5,6,0,0,0,8,104,84,101,0,0,0,133,165,92
5,5,7,2,97,55,0,32,103,64,0,0,11,0,0,0,69,75,77,2,0,0,103,134,105
5,1,0,1,38,63,18,22,115,73,0,0,0,0,0,0,111,59,93,0,7,7,124,162,111
5,0,4,0,54,58,3,29,114,79,0,0,0,0,1,0,77,88,113,3,3,5,110,125,106
5,0,0,0,28,48,2,29,109,54,1,0,0,0,0,0,104,58,100,8,0,5,126,142,124
5,3,8,0,69,72,27,16,119,75,1,0,0,0,4,0,99,104,104,0,6,0,119,136,142
5,0,0,0,30,56,16,26,114,79,0,0,10,0,0,0,85,112,149,0,0,1,110,112,85
5,2,3,0,113,64,0,38,113,95,2,0,0,0,1,0,90,70,86,0,9,0,124,136,110
5,3,0,0,86,59,30,24,107,93,1,0,5,0,0,1,125,47,100,9,2,0,126,124,135
5,6,2,4,70,62,0,30,99,95,1,0,4,0,0,0,63,55,116,0,0,0,119,134,145
5,0,0,5,62,88,23,33,88,92,0,0,0,0,0,1,112,43,102,0,3,3,109,148,119
5,0,2,4,43,59,39,27,97,66,2,2,0,0,0,3,105,106,102,0,0,6,146,135,116
6,0,6,2,132,96,62,114,96,78,114,142,119,49,98,117,0,1,0,8,0,4,111,134,128
6,2,1,0,118,98,60,124,109,66,136,162,182,55,97,106,0,2,2,1,0,0,116,156,123
6,5,8,0,115,105,53,116,101,71,141,119,115,57,125,97,0,8,0,1,0,0,106,127,116
6,1,1,0,113,109,69,117,106,68,130,163,165,39,113,95,2,0,4,0,3,0,137,145,121
6,5,7,0,117,108,83,127,101,58,114,155,104,41,109,100,1,7,2,0,1,2,121,146,129
6,0,0,0,114,94,65,127,83,65,96,126,126,38,82,93,0,0,1,5,0,0,138,139,116
6,0,1,2,116,94,61,122,110,72,139,143,133,38,116,109,0,0,0,0,0,2,118,149,128
6,1,4,7,120,94,71,122,97,62,83,140,104,29,100,107,1,0,0,0,2,0,120,137,127
6,0,4,3,106,96,61,114,99,43,98,152,72,60,132,72,0,0,1,5,0,0,115,144,119
6,0,7,4,134,94,76,123,98,57,163,153,140,45,102,133,1,0,0,3,0,1,118,145,114
6,4,4,2,118,104,54,108,100,71,121,136,121,47,108,99,0,3,0,1,0,0,122,139,112
6,6,1,9,114,90,58,134,90,82,145,127,115,53,93,99,5,2,7,3,2,0,131,144,112
6,7,6,0,118,96,59,113,99,62,120,142,98,84,106,91,0,0,6,1,4,4,130,143,117
6,4,3,4,115,99,71,114,100,71,140,156,161,50,91,101,0,0,8,0,0,0,118,131,127
6,6,3,0,109,100,76,122,92,62,118,151,129,50,93,109,0,0,0,0,0,0,116,133,98
6,0,3,0,103,98,61,120,100,73,137,147,126,61,109,79,0,6,0,2,3,0,126,154,103
6,4,2,2,120,98,54,121,88,63,130,166,113,43,114,98,0,0,5,0,2,0,129,146,115
6,2,0,7,117,102,62,106,104,63,119,151,130,47,75,88,0,11,0,0,0,0,125,133,115
6,5,0,10,120,96,61,114,106,67,160,141,97,43,115,101,3,2,5,0,1,0,126,144,121
6,4,0,5,123,99,76,126,102,59,123,137,91,35,88,118,4,0,0,0,0,0,127,135,127
6,0,0,4,113,90,51,123,85,59,125,141,111,51,70,95,0,3,0,0,2,5,123,133,114
6,0,2,0,134,92,62,126,99,65,128,126,142,48,83,108,5,1,2,0,0,1,109,137,120
6,4,1,0,128,87,59,133,98,65,134,138,149,51,117,96,5,0,0,0,0,5,128,142,122
6,5,9,0,110,96,60,120,99,76,177,129,148,51,81,115,0,0,2,0,0,4,109,135,122
6,0,6,0,117,95,60,125,87,88,102,142,105,47,114,91,5,0,0,0,0,0,119,145,117
6,2,0,1,128,97,75,130,93,47,130,132,144,48,105,126,4,0,0,0,4,0,114,146,129
6,10,4,0,130,95,47,116,101,53,124,147,159,57,117,113,3,0,0,0,4,0,134,137,113
6,4,0,4,115,105,74,120,99,52,116,127,104,57,91,77,0,0,0,1,0,0,103,139,125
6,0,4,0,132,104,67,138,89,77,137,114,125,53,84,99,0,0,0,0,7,0,125,135,119
6,7,0,1,124,100,65,128,100,68,88,173,95,57,89,64,3,0,1,0,6,0,124,140,127
6,0,2,0,97,90,52,122,91,61,118,135,111,53,112,87,0,5,0,3,1,0,107,132,124
6,3,4,12,102,87,76,127,105,60,138,155,160,61,113,131,0,1,0,0,0,0,124,148,113
6,0,5,4,119,96,60,124,106,53,117,132,141,47,126,90,0,1,0,0,0,0,117,135,119
6,4,1,0,119,94,55,110,108,53,120,121,162,42,93,95,3,0,0,0,3,0,128,135,141
6,3,4,0,130,98,50,115,102,57,152,148,126,43,96,83,0,9,6,0,1,11,117,138,130
6,1,0,6,131,97,65,120,87,74,136,117,126,42,98,91,0,0,8,5,0,0,122,134,109
6,3,0,0,121,89,56,112,90,59,131,120,135,48,73,112,7,2,0,0,3,0,116,131,132
6,0,4,1,133,101,44,117,93,59,105,132,130,40,80,95,0,8,0,4,3,0,127,138,108
6,5,0,0,114,92,66,118,94,57,131,112,140,35,119,98,0,0,0,1,0,0,125,139,120
6,0,0,4,124,90,60,114,97,73,127,139,127,46,84,109,0,0,0,0,4,0,128,144,144
6,2,0,0,123,98,72,115,97,58,121,139,130,53,101,120,5,0,0,0,0,0,101,136,109
6,1,0,3,126,96,70,108,104,59,136,154,106,40,131,60,0,0,0,8,0,2,130,140,117
6,3,0,7,126,89,60,117,93,64,128,143,127,49,79,94,0,1,0,4,0,3,114,142,114
6,0,4,0,120,92,48,122,92,76,133,129,169,44,88,67,4,0,0,0,0,0,112,130,121
6,0,0,0,128,100,65,118,105,76,141,168,154,45,111,92,7,0,0,0,1,0,107,141,115
6,0,3,5,119,91,83,124,100,65,145,127,134,60,117,107,0,0,0,7,1,0,138,138,113
6,0,2,2,117,97,54,134,88,45,132,110,139,48,114,105,0,0,0,2,0,0,120,135,117
6,2,4,0,114,85,77,124,103,65,128,151,111,45,88,85,0,5,0,0,0,0,124,132,115
6,6,0,10,133,97,56,112,103,61,127,145,113,64,104,86,0,0,2,6,2,0,115,131,125
6,5,0,0,119,91,61,114,102,82,149,144,122,42,96,105,9,0,0,1,3,0,121,147,102
